pair_id,session,group,category_pair,trial_id,gif_A,gif_B,user_choice,confidence,comments
P021,2,C_synthetic_5level,"B2-val-best vs 5-level oracle",012798,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012798_b2valbest_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012798_b2valbest_vs_5level.gif,,,
P022,1,A_STOP_best,"Original vs oracle(STOP)",motion_010,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_010_vs_oracle.gif,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_010_vs_oracle.gif,,,
P023,2,D_negative_control,"NC: 5-level oracle (identical)",014552,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_014552_3level_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_014552_3level_vs_5level.gif,,,
P024,2,C_positive_control,"corrupted vs 5-level oracle [PC]",012798,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012798_corrupted_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012798_corrupted_vs_5level.gif,,,
P025,1,B_correction_best,"Original vs B2-val-best",motion_004,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_004_vs_b2_small.gif,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_004_vs_b2_small.gif,,,
P026,1,B_correction_best,"B2-val-best vs oracle",motion_004,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_004_vs_b2_small.gif,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_004_vs_oracle.gif,,,
P027,2,C_synthetic_5level,"3-level oracle vs 5-level oracle",M008358,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M008358_3level_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M008358_3level_vs_5level.gif,,,
P028,2,C_synthetic_5level,"3-level oracle vs 5-level oracle",010382,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_010382_3level_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_010382_3level_vs_5level.gif,,,
P029,1,A_STOP_best,"Original vs B2-large",motion_007,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_007_vs_b2_large.gif,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_007_vs_b2_large.gif,,,
P030,1,A_STOP_best,"Original vs B2-large",motion_008,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_008_vs_b2_large.gif,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_008_vs_b2_large.gif,,,
P031,1,B_correction_best,"Original vs B2-val-best",motion_001,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_001_vs_b2_small.gif,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_001_vs_b2_small.gif,,,
P032,1,B_correction_best,"B2-val-best vs oracle",motion_001,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_001_vs_b2_small.gif,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_001_vs_oracle.gif,,,
P033,2,C_synthetic_5level,"B2-val-best vs 5-level oracle",M000741,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M000741_b2valbest_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M000741_b2valbest_vs_5level.gif,,,
P034,1,A_STOP_best,"Original vs oracle(STOP)",motion_008,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_008_vs_oracle.gif,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_008_vs_oracle.gif,,,
P035,2,C_synthetic_5level,"3-level oracle vs 5-level oracle",012943,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012943_3level_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012943_3level_vs_5level.gif,,,
P036,2,C_synthetic_5level,"B2-val-best vs 5-level oracle",014552,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_014552_b2valbest_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_014552_b2valbest_vs_5level.gif,,,
P037,2,C_synthetic_5level,"B2-val-best vs 5-level oracle",M007140,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M007140_b2valbest_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M007140_b2valbest_vs_5level.gif,,,
P038,2,C_synthetic_5level,"B2-val-best vs 5-level oracle",012631,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012631_b2valbest_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_012631_b2valbest_vs_5level.gif,,,
P039,2,C_synthetic_5level,"B2-val-best vs 5-level oracle",M008358,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M008358_b2valbest_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M008358_b2valbest_vs_5level.gif,,,
P040,2,C_positive_control,"corrupted vs 5-level oracle [PC]",M000741,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M000741_corrupted_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M000741_corrupted_vs_5level.gif,,,
P041,1,A_STOP_best,"Original vs oracle(STOP)",motion_003,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_003_vs_oracle.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_003_vs_oracle.gif,,,
P042,2,C_synthetic_5level,"B2-val-best vs 5-level oracle",010382,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_010382_b2valbest_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_010382_b2valbest_vs_5level.gif,,,
P043,1,A_STOP_best,"Original vs oracle(STOP)",motion_007,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_007_vs_oracle.gif,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_007_vs_oracle.gif,,,
P044,2,C_synthetic_5level,"B2-val-best vs 5-level oracle",M007995,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M007995_b2valbest_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M007995_b2valbest_vs_5level.gif,,,
P045,1,A_STOP_best,"Original vs oracle(STOP)",motion_006,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_006_vs_oracle.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_006_vs_oracle.gif,,,
P046,2,C_synthetic_5level,"3-level oracle vs 5-level oracle",M000741,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M000741_3level_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M000741_3level_vs_5level.gif,,,
P047,2,C_synthetic_5level,"3-level oracle vs 5-level oracle",001885,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_001885_3level_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_001885_3level_vs_5level.gif,,,
P048,2,C_synthetic_5level,"3-level oracle vs 5-level oracle",M007995,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M007995_3level_vs_5level.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/synthetic_M007995_3level_vs_5level.gif,,,
P049,1,D_negative_control,"NC: B2-small (identical)",motion_010,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_010_vs_b2_small.gif,reports/figures/2026-05-25/g2_general_gif_yup_fix/motion_010_vs_b2_small.gif,,,
P050,1,A_STOP_best,"Original vs B2-large",motion_009,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_009_vs_b2_large.gif,reports/figures/2026-05-26/perceptual_v2_gif_yup_fix/motion_009_vs_b2_large.gif,,,
